company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
RUBICON PARTNERS INDUSTRIES LLP,OC304887,,-1.4642512077294687,-1.3538505560127176,0.06273677829974239,-11.095312469480536,10.404111313817522,19.0,5.556828061699537,127.39382239382239,-0.06620311650021626,0.39837877014858125,0.044055568092941144
PARK SHEET METAL COMPANY LIMITED,00455699,29,0.13253968253968254,0.13253968253968254,0.06996501749125437,0.4180259449408613,9.798626911919953,74.0,5.049856007249537,115.4423076923077,0.03917708332775893,0.20731104640940368,0.02534886594589047
PLOWMAN CRAVEN LIMITED,06429056,82,-0.27373095049276547,-0.27373095049276547,0.16450865527638017,-4.703388556056462,9.831086791498626,15.0,5.087596335232384,114.83432716049383,0.07083072677848246,0.28001794632505406,0.06819163248504376
SUPAGLAZE LTD,06334186,22,-0.322236971374146,-0.322236971374146,0.09839526065152317,-2.6390352689097756,9.919722598083416,15.0,5.0689042022202315,127.84497484276729,0.07235802520502355,0.1046626124024288,0.008382385705810819
GOODFELLOW CAMBRIDGE LIMITED,01188162,25,-0.019546520719311962,-0.019546520719311962,0.2757505524712984,-0.5025163870262139,9.828386780026877,48.0,4.6443908991413725,178.39423076923077,0.08796150584985596,0.09599670001614435,0.006020560106475781
OEM - AUTOMATIC LIMITED,02240242,46,0.5148251646086702,0.5148251646086702,0.08220133051122945,3.375021136217371,9.740195029774581,34.0,4.0943445622221,283.11423333333335,0.12193448585142908,0.16855993507484834,0.009452106835936364
CWMTILLERY GLASS CENTRE LIMITED,03983464,23,-0.17498837107478585,-0.17498837107478585,0.2690355569127087,1.502234883786857,10.049032393846625,22.0,4.804021044733257,189.61796721311475,0.23677530540969904,0.28118106594487324,0.027015943920804558
CONGA EUROPE LTD,08071879,62,2.2118917124932587,2.2118917124932587,0.04114877268860012,3.6293914064967305,9.263333785342109,10.0,4.174387269895637,162.21887692307695,-0.09834293280899475,-0.3226148268535991,-0.05589641409446239
TRANSFORMERS & RECTIFIERS LIMITED,00498430,27,0.6256437631068397,0.6256437631068397,0.16516925018335674,2.736962769224227,9.510216271611645,71.0,4.61512051684126,133.63280198019802,0.043898567658726684,0.07253156614574374,0.012878385189361075
VACGEN LIMITED,05361640,26,0.09676916181179032,0.09676916181179032,0.2923451338458089,-0.7169475528510161,9.473017510570383,17.0,4.2626798770413155,183.15588732394366,0.22425440117368156,,0.38376073268137173
